City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Bathsheba,BB,13.2167,-59.5167,81.21,95,75,11.5,broken clouds
79,Cape Town,ZA,-33.9258,18.4232,56.37,78,0,2.3,mist
80,Galveston,US,29.3669,-94.9669,86.95,82,0,1.01,clear sky
81,Guerrero Negro,MX,27.9769,-114.0611,68.74,81,15,11.86,few clouds
82,Terme,TR,41.2092,36.9739,60.73,72,0,5.03,clear sky
83,Puqi,CN,29.7167,113.8833,94.89,58,98,6.82,overcast clouds
84,Clarence Town,AU,-32.5833,151.7833,67.14,60,39,1.19,scattered clouds
85,Krasnyy Chikoy,RU,50.3643,108.7512,63.59,81,91,4.07,overcast clouds
86,Yellowknife,CA,62.456,-114.3525,61.32,88,75,11.5,broken clouds
87,Rocha,UY,-34.4833,-54.3333,56.55,99,100,1.83,overcast clouds
88,Minbu,MM,20.1833,94.8833,87.53,60,51,3.67,broken clouds
89,Kamina,CD,-8.7386,24.9906,60.03,48,13,4.72,few clouds
90,Holland,US,42.7875,-86.1089,74.03,66,75,4.61,broken clouds
91,Nyakahanga,TZ,-1.6033,31.1414,63.45,56,94,2.95,overcast clouds
92,Bluff,NZ,-46.6,168.3333,45.81,81,51,18.1,broken clouds
93,Souillac,MU,-20.5167,57.5167,61.18,94,75,4.61,broken clouds
94,Treinta Y Tres,UY,-33.2333,-54.3833,60.17,99,38,5.95,scattered clouds
95,Qaanaaq,GL,77.484,-69.3632,39.61,94,100,1.52,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,71.71,31,41,11.3,scattered clouds
97,Aksarka,RU,66.5606,67.7975,54.91,63,95,18.66,overcast clouds
98,Green Valley,US,31.8543,-110.9937,83.89,59,100,5.46,overcast clouds
99,Walvis Bay,NA,-22.9575,14.5053,53.1,88,17,4.18,few clouds
100,Arraial Do Cabo,BR,-22.9661,-42.0278,70.7,88,48,20.54,scattered clouds
101,Mahanoro,MG,-19.9,48.8,62.55,90,4,4.27,clear sky
102,Esperance,AU,-33.8667,121.9,58.35,52,2,16.24,clear sky
103,Upernavik,GL,72.7868,-56.1549,37.49,98,95,9.1,overcast clouds
104,Bud,US,39.447,-86.1758,75.74,94,97,6.15,overcast clouds
105,Barrow,US,71.2906,-156.7887,44.62,81,100,12.66,overcast clouds
106,Ilulissat,GL,69.2167,-51.1,37.24,97,95,2.1,overcast clouds
107,Mayo,US,38.8876,-76.5119,87.1,81,0,9.22,clear sky
108,Pirot,RS,43.1531,22.5861,64.09,88,32,2.28,scattered clouds
109,Arlit,NE,18.7369,7.3853,93.79,21,5,2.46,clear sky
110,Plettenberg Bay,ZA,-34.0527,23.3716,51.84,74,0,5.35,clear sky
111,Keti Bandar,PK,24.1447,67.4497,79.74,93,100,20.04,light rain
112,Kalininsk,RU,51.5,44.4758,63.27,87,44,3.06,scattered clouds
113,Kibala,TD,9.1104,18.3463,72.16,96,94,1.12,light rain
114,Castro,BR,-24.7911,-50.0119,57.25,74,91,3.18,overcast clouds
115,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.98,41,87,3.4,overcast clouds
116,Arman,RU,59.7,150.1667,66.02,80,99,4.97,overcast clouds
117,Onega,RU,63.9061,38.1404,56.16,90,100,2.89,overcast clouds
118,Klaksvik,FO,62.2266,-6.589,49.12,91,87,21.27,overcast clouds
119,Richards Bay,ZA,-28.783,32.0377,61.12,52,17,16.58,few clouds
120,Siuna,NI,13.7332,-84.7773,72.48,93,100,2.24,overcast clouds
121,Namatanai,PG,-3.6667,152.4333,82.81,77,29,9.75,light rain
122,Makakilo City,US,21.3469,-158.0858,82.72,56,20,13.8,few clouds
123,Atuona,PF,-9.8,-139.0333,76.78,64,2,14.9,clear sky
124,Banovici,BA,44.4053,18.5242,57.65,100,0,2.3,clear sky
